Matrix Size,Custom Determinant Time (s),NumPy Determinant Time (s),Determinant Error,Custom Linear Time (s),NumPy Linear Time (s),Linear Solution L2 Error,Custom Eigen Time (s),NumPy Eigen Time (s),Eigenvalue Error,Eigenvector L2 Error,Custom Dominant Eigenvalue,NumPy Dominant Eigenvalue,RHS
1,1.200009137392044e-06,5.6100019719451666e-05,0.0,3.3999967854470015e-06,4.029998672194779e-05,0.0,3.29999893438071e-05,0.00013610001769848168,0.0,0.0,1.0,1.0,[0]
2,1.500011421740055e-06,2.3100001271814108e-05,0.0,4.9000082071870565e-06,1.7799990018829703e-05,0.0,4.990000161342323e-05,6.550000398419797e-05,0.0,1.1102230246251565e-16,6.16227766016838,6.16227766016838,"[1, 8]"
3,3.300025127828121e-06,1.5199999324977398e-05,7.105427357601002e-15,5.600013537332416e-06,1.5600002370774746e-05,1.1102230246251565e-16,7.979999645613134e-05,0.0005819999787490815,1.0658141036401503e-14,2.486410087150353e-16,10.461882439167887,10.461882439167898,"[9, 0, 8]"
4,2.700020559132099e-06,1.5600002370774746e-05,2.842170943040401e-14,6.500020390376449e-06,1.4499993994832039e-05,2.4464300307136874e-15,9.48999950196594e-05,4.650000482797623e-05,7.105427357601002e-15,2.7194799110210365e-16,18.29657166796405,18.296571667964056,"[1, 6, 1, 5]"
5,7.599999662488699e-06,1.5099998563528061e-05,2.2737367544323206e-12,1.0399991879239678e-05,1.610000617802143e-05,8.998287412055164e-15,0.0001640999980736524,5.509998300112784e-05,1.0658141036401503e-14,5.266250202865052e-16,22.23383943922653,22.23383943922654,"[5, 2, 5, 5, 3]"
6,6.600021151825786e-06,1.6699981642886996e-05,5.093170329928398e-11,1.4299992471933365e-05,1.550000160932541e-05,1.594436429147036e-16,0.00019229997997172177,5.1700015319511294e-05,7.105427357601002e-15,2.0770370905276122e-16,27.220720534423684,27.22072053442369,"[9, 6, 5, 3, 2, 8]"
7,8.200004231184721e-06,1.5600002370774746e-05,7.566995918750763e-10,1.6200006939470768e-05,1.5700003132224083e-05,1.149389184398528e-14,0.00022449999232776463,5.520001286640763e-05,7.105427357601002e-15,6.888752704931532e-16,30.52553757421033,30.525537574210322,"[3, 0, 3, 9, 1, 1, 7]"
8,1.0400020983070135e-05,1.4399993233382702e-05,1.30385160446167e-08,2.1299987565726042e-05,1.4199991710484028e-05,5.998091350100882e-14,0.0002626999921631068,5.050000618211925e-05,2.1316282072803006e-14,6.544668208791957e-16,35.681066090556364,35.68106609055634,"[5, 1, 3, 3, 3, 8, 7, 2]"
9,1.4100020052865148e-05,2.0700012100860476e-05,1.4901161193847656e-07,2.8999987989664078e-05,1.5700003132224083e-05,1.1242965541161342e-15,0.000311699986923486,5.6199991377070546e-05,0.0,4.2998752849492583e-16,39.45436491863434,39.45436491863434,"[7, 9, 9, 1, 1, 8, 3, 8, 4]"
10,1.7499987734481692e-05,1.8400023691356182e-05,1.7881393432617188e-07,3.3499993151053786e-05,1.8499995348975062e-05,2.5137579749848748e-15,0.0004655999946407974,6.900000153109431e-05,8.526512829121202e-14,3.7238012298709097e-16,38.33266393884228,38.332663938842195,"[5, 8, 6, 8, 5, 0, 1, 4, 2, 9]"
